b03101044,2,2,2.5,2.5,1.75,2.5,1.5,2.5,1.75,2,2.5,,,
b05101106,1.5,2.5,2,2,,,,2,2.25,2.25,2.5,,,
b06102084,2.5,2,2.5,2.25,2.25,2.5,1.5,2.5,2.25,2.25,2,,,
b06102090,1.5,2.5,2.5,2,2.25,2.5,1.75,2.25,2,2,1.75,,,
b06102118,1.5,2.5,2.25,2.5,2.25,2.5,1.5,2.5,1.5,2.25,2,,,
b06102126,2,2.5,2.5,2.5,2.5,2.5,2.25,2.25,2.5,2,2.5,,,
b05102063,2.25,2.25,2.5,2.5,1.5,1.5,2.25,2.25,2.25,2,2.5,,,
b05102141,2,1.25,2.5,2.5,2.5,2,1.75,2,1.5,2.25,1.75,,,
b05102116,1.5,2,2.5,2.25,,2,2,1.5,1.75,2,1.5,,,
b06104015,2,2.5,2.25,2.5,,2.5,2.25,2.25,2.5,2.25,2.5,,,
b04201026,2,2.5,2.5,2.25,,2.5,2.25,2.5,2,2.25,2.5,,,
b05605067,2,1.5,2.5,2,2,2.5,1.5,2.5,1.75,2.25,2.5,,,
b03207009,,,2.5,2.25,2.25,2.5,2.5,2.5,2.5,2.25,2,,,
b05209001,2.5,2.5,2.5,2.25,,2.5,2.5,2.5,2.25,2.5,2.5,,,
t07302107,2,2.5,2.5,2.25,2.25,2.5,,2.25,2.5,2,2.5,,,
b06302147,2,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,,,
b06302207,1.5,2.5,2.5,2.5,,2.5,2.25,,,2,2.5,,,
b06302212,2.25,2.5,2.5,2.25,2.25,2.5,1.75,2.5,2.5,2,2.5,,,
b06302246,2,2.5,2,2.5,2.5,2.25,1.75,2.5,2.25,2,2.5,,,
b05102109,2,2.5,2.25,2,,2.5,2.25,2,1.75,2,,,,
b04302339,1.5,2.5,2.25,2,2.25,2.5,2,2.5,2.25,2,2.5,,,
t07303101,2,2.5,2.5,2.5,1.25,2.25,2,2.25,,,,,,
t07303111,,,,,,,,,,,,,,
